,,,,,,,,
,State,Maximum Late Fee,Mandatory Grace Period,Eviction Timeframe,Maintenance,Notice to Enter,Raising Rent,Month-to-Month Termination Notice
,Georgia,Greater of $20 or 20% of monthly rent,None,Landlord can file eviction immediately,"Tenants cannot withhold rent but may be able to make repairs and deduct the costs from rent in some cases. The tenant must first give the landlord notice of the needed repair and allow a reasonable time to fix. The tenant should also inform the landlord of the intent to repair and deduct the costs from the rent, ensure that the repair costs are reasonable, and keep thorough records and receipts for all repairs made.",Landlord does not need to provide any notice,Landlord does not need to provide any notice,Landlord must provide 60-day notice
,Hawaii,8% of monthly rent,None,Landlord can file eviction within 5 days,"Tenants have the right to use the repair-and-deduct remedy or withhold rent under specific conditions.

Repair-and-Deduct: If an issue arises involving electrical, plumbing, or other essential facilities (including major appliances) that are necessary for sanitary and habitable living conditions, the landlord has three business days after receiving notification to begin good-faith efforts to repair the problem as soon as possible. If the repair will take longer than three days, the landlord must inform the tenant of the reason for the delay and provide a reasonable tentative start date for the repairs. For other problems affecting health or safety, tenants must give the landlord written notification. The landlord then has 12 business days to address the issue or make a good-faith effort to resolve it. If the landlord fails to fix the problem within these timeframes, the tenant can arrange for the repairs to be made in a competent manner, with a cost limit of $500. The tenant must submit receipts for the work to the landlord. This remedy cannot exceed an amount equal to three months' rent within a six-month period. The tenant's notification to the landlord must include every known condition requiring repair. If any condition is not listed, the tenant cannot claim the right to have it fixed.

Rent Withholding: If the habitability issue is very serious and the landlord fails to repair it, tenants may withhold rent. However, withholding rent is risky, as it often prompts eviction proceedings. Tenants must ensure the issue is severe enough to justify withholding rent. Hawaii tenants can use the landlord's breach of the warranty of habitability as a defense in eviction cases for nonpayment of rent. Tenants must have the unpaid rent available because, if the matter goes to court, they will need to deposit the withheld rent into the court's rent trust fund.",Landlord must provide 2-day notice,Landlord must provide 45-day notice,Landlord must provide 45-day notice
,Idaho,No limit,None,Landlord can file eviction within 3 days,"Tenants cannot withhold rent or deduct and repair. If a landlord fails to provide a habitable rental or make necessary repairs, tenants have the right to sue the landlord to compel the repairs and seek any damages owed. Before initiating a lawsuit, the tenant must provide the landlord with a written notice of the issue, detailing each failure or breach, and demanding the repairs be made. If the landlord does not address the problem within three days after receiving the notice, the tenant can proceed with legal action.",Landlord does not need to provide any notice,Landlord must provide 15-day notice,Landlord must provide 30-day notice
,Illinois,Greater of $20 or 20% of monthly rent; CHICAGO ONLY – $10 per month for the first $500 plus 5% for any rent amount in excess of $500.,5 Days,Landlord can file eviction within 5 days,"When a repair is required under the lease, a law, an administrative rule, or a local regulation, and the cost is not more than the lesser of $500 or half of the monthly rent, tenants can notify the landlord in writing and give them 14 days to complete the repair. If the landlord does not make the repair within this period, the tenant can hire a tradesperson or supplier not related to them to perform the work. The tenant can then deduct the repair cost from the rent, providing the landlord with the invoice from the tradesperson. If the necessary repairs are so severe that the tenant cannot safely live in the rental, the situation may be considered a ""constructive eviction."" This grants the tenant the right to move out without further liability for rent. However, tenants should consult with an attorney before moving out under such circumstances, as an incorrect assessment of the damage could result in the landlord suing for the remaining rent due under the lease.",Landlord must provide illinois - reasonable notice / chicago - 48-hour notice,Landlord must provide 30-day notice,Landlord must provide 30-day notice
,Indiana,No limit,None,Landlord can file eviction within 10 days,Tenants cannot withhold rent or deduct and repair.,Landlord must provide reasonable notice,Landlord must provide 30-day notice,Landlord must provide 30-day notice
,Iowa,"For rent under $700/month, the late fee cannot exceed more than $12/day per day or $60/month; For rent greater than $700/month, the late fee cannot exceed more than $20/day or $100/month.",None,Landlord can file eviction within 3 days,"If the landlord fails to keep the rental property in good repair and fit for human habitation, the tenant must notify the landlord and allow a reasonable amount of time for repairs. If the landlord does not make the necessary repairs, the tenant has several options:

- Self-Repair: The tenant can make the repairs themselves and either deduct the cost from the rent or sue the landlord for reimbursement.
- Damages: The tenant can seek damages based on the reduced fair rental value of the property due to the landlord's noncompliance.
- Rent Recovery: The tenant can recover any rent already paid for the period during which the landlord failed to comply with habitability standards.

When a rental issue materially affects health and safety, the tenant can give the landlord written notice specifying the problem and stating that if the issue is not fixed within seven days, the tenancy will be terminated. If the landlord fixes the problem before the deadline, the tenancy will continue. If the tenant has previously notified the landlord of the same issue within the past six months, they can terminate the tenancy with seven days' written notice without giving the landlord another chance to fix it. However, if the landlord has shown due diligence and effort in addressing the problem, this remedy is not available. When the tenant terminates the tenancy for health and safety reasons in this manner, the landlord must return all prepaid rent and any recoverable security deposit.",Landlord must provide 24-hour notice,Landlord must provide 30-day notice,Landlord must provide 30-day notice
,Kansas,No limit,None,Landlord can file eviction within 3 days,"Tenants cannot withhold rent or deduct and repair. However, the tenant must provide the landlord with written notice detailing the issue and informing them that the tenancy will be terminated 30 days from the receipt of the notice. If the issue can be resolved through repairs or payment of damages, and the landlord makes a good-faith effort to fix it within 14 days of receiving the notice, the tenancy will not terminate. However, if the same or a similar issue occurs again, the tenant can give another written notice to the landlord stating that the tenancy will end in 30 days.",Landlord must provide reasonable notice,Landlord must provide 30-day notice,Landlord must provide 30-day notice
,Kentucky,Greater of $20 or 20% of monthly rent,None,Landlord can file eviction within 7 days,"If an issue can be resolved for less than $100 or half the monthly rent, the tenant can notify the landlord of their intent to fix the issue at the landlord's expense. If the landlord does not respond or remedy the problem within 14 days of receiving the notice, the tenant can have the repair done, deduct the cost from the rent, and provide the landlord with an itemized statement of the work performed. If the landlord willfully fails to provide essential services such as heat, running water, hot water, electricity, or gas, the tenant can issue a written notice of the breach and may:
- Obtain reasonable amounts of the essential service during the period of noncompliance and deduct the actual cost from the rent.
- Recover damages based on the reduced fair rental value of the unit.
- Secure reasonable substitute housing during the noncompliance period and not pay rent for that period.
The tenant may also recover any attorney's fees incurred. If the tenant opts for one of these remedies, they cannot use the ""repair and deduct"" method or the termination option.

In cases where the landlord materially fails to comply with the lease or rental agreement, or fails to fulfill their duties in a way that affects health and safety, the tenant can choose to terminate the tenancy. The tenant must provide the landlord with written notice of the noncompliance, stating that the tenancy will end 30 days after the notice if the breach is not remedied within 14 days. If the landlord fixes the problem within 14 days, the tenancy will not terminate.",Landlord must provide 2-day notice,Landlord does not need to provide any notice,Landlord must provide 30-day notice
,Louisiana,No limit,None,Landlord can file eviction immediately,"When a landlord fails to provide a habitable rental, the tenant must make a written demand for the necessary repairs. If the landlord does not complete the repairs within a reasonable time, the tenant can have the repairs done themselves. The tenant can then either request reimbursement for the repair costs or deduct the repair expenses from the rent. The costs incurred must be necessary and reasonable.",Landlord does not need to provide any notice,Landlord does not need to provide any notice,Landlord must provide 10-day notice
,Maine,4% of monthly rent,15 Days,Landlord can file eviction within 7 days,"If the landlord fails to keep the rental property in good repair and fit for human habitation, the tenant must notify the landlord and allow a reasonable amount of time for the repairs to be made. If the landlord does not make the necessary repairs, the tenant has two options:
- Suing the Landlord: The tenant can take legal action against the landlord (as discussed in ""Landlords in Maine Must Provide Habitable Rentals"").
- Repair and Deduct: If the reasonable cost of fixing the issue is less than the greater of $500 or half the monthly rent, the tenant can make the repairs themselves and deduct the cost from the rent.
To use the repair and deduct remedy, the issue must not have been caused by the tenant or their guests. The tenant must first notify the landlord in writing of their intent to correct the condition at the landlord's expense. If the landlord does not address the issue within 14 days of receiving the notice, the tenant can proceed to have the repairs done with due professional care and using materials of the same quality as those being repaired. For electrical, oil burner, or plumbing system issues, the work must be performed by a licensed professional. After the repairs are completed, the tenant must provide the landlord with an itemized statement of the work performed and its cost. The tenant can then deduct the cost of the work from the rent.",Landlord must provide reasonable notice,Landlord must provide 45-day notice,Landlord must provide 30-day notice
,Maryland,5% of monthly rent,None,Landlord can file eviction within 10 days,"When there is an issue that impacts habitability, health, or safety, the tenant must notify the landlord and allow a reasonable amount of time for the repairs to be made. The reasonable amount of time depends on the specifics of the situation. If the landlord fails to make the repairs within a reasonable timeframe, the tenant has two options:
- Rent Escrow: The tenant can bring a rent escrow action, where they pay rent to the court instead of the landlord until the issue is resolved.
- Rent Withholding: The tenant can refuse to pay rent and use the existence of the problem as a defense in any legal action, such as an eviction lawsuit, that the landlord might initiate.
Tenants considering withholding rent must proceed with caution. Improper rent withholding can lead to the court siding with the landlord, giving grounds for eviction due to nonpayment of rent. For instance, a tenant with a history of missing rent payments may not be eligible for this remedy. It is advisable for tenants to consult with a local landlord-tenant attorney to ensure they are eligible and follow the correct procedures for rent withholding.",Landlord does not need to provide any notice,Landlord does not need to provide any notice,Landlord must provide 1-month notice
,Massachusetts,No limit,30 Days,Landlord can file eviction within 14 days (if not specified in lease),"When a landlord fails to provide a habitable rental, tenants have several options:

Repair and Deduct: If there is an issue affecting health and safety, the tenant should notify the landlord in writing. The landlord then has 5 days to begin repairs and 14 days to substantially complete them. If the landlord fails to do so, the tenant can deduct the cost of the repairs from their rent. This remedy allows tenants to deduct up to a total of 4 months' rent within any 12-month period. Alternatively, if the landlord does not make the necessary repairs, the tenant can consider the lease canceled and move out.

Rent Withholding: When a landlord breaches the implied warranty of habitability, the tenant can withhold rent in an amount that reflects the difference between the agreed-upon rent and the fair market value of the rental with the habitability issues. The withheld amount must be reasonable, and the tenant must have proof that they notified the landlord of the problem and that it was not fixed.",Landlord does not need to provide any notice,Landlord must provide 30-day notice,Landlord must provide 14-day notice
,Michigan,No limit,None,Landlord can file eviction once 7 day notice requirement is met,"If a certificate of compliance is not issued for the rental property, tenants can stop paying rent to the landlord and instead deposit it into an escrow account. The funds in this account will be released by the agency enforcing the certificate of compliance to the landlord solely for the purpose of making necessary repairs. 

Tenants can also use the landlord's failure to provide a habitable rental as a defense in an eviction lawsuit for nonpayment of rent (Rome v. Walker, 196 N.W.2d 850 (Mich. Ct. App. 1972)). Additionally, Michigan law allows tenants to withhold rent and make repairs themselves, but they must keep detailed records of the repair costs and give the landlord a reasonable opportunity to address the issue first.",Landlord does not need to provide any notice,Landlord does not need to provide any notice,Landlord must provide 30-day notice
,Minnesota,5% of monthly rent,None,Landlord can file eviction within 14 days,"When a landlord fails to provide a habitable rental, tenants have several options:

- File a Complaint with a Local Health or Housing Agency: The tenant can request an inspection, and the inspector can order the landlord to make repairs.
- Place Rent in Escrow: If no local inspector is available, or if the landlord does not make the repairs after being ordered by an inspector, the tenant can provide the landlord with written notice of the problem. If the landlord fails to fix the issue within 14 days, the tenant can pay their rent to the court instead of the landlord and ask the court to order the landlord to make the repairs. The court usually schedules a hearing within 10 to 14 days. The tenant must follow statutory procedures to initiate a rent escrow action. The court has the authority to order the landlord to remedy the problem and provide other relief to the tenant.
- Sue the Landlord: Tenants have the right to sue the landlord when there is a habitability problem. Although bringing a rent escrow action is typically simpler, it may not always be available. The tenant must first give the landlord written notice of the problem and 14 days to make the repairs before filing a lawsuit.
- Withhold Rent: Withholding rent is a risky option and should only be considered when the problem is severe, and the landlord has failed to fix it after receiving notice. If a tenant wrongfully withholds rent, the landlord may file an eviction lawsuit for unpaid rent. Withholding rent is more often used as a defense to an eviction rather than a proactive remedy.",Landlord must provide reasonable notice,Landlord must provide 1-month plus 1-day notice,Landlord must provide 30-day notice
,Mississippi,No limit,None,Landlord can file eviction within 3 days,"When a landlord fails to perform required maintenance, tenants might have the option to repair the problem and deduct the repair costs from their rent.

The tenant must first notify the landlord in writing about the issue. If the landlord does not repair the problem within 30 days, the tenant can arrange for the repairs themselves. The tenant is entitled to reimbursement for the repair expenses within 45 days of submitting the receipts to the landlord, provided that:
- The tenant has fulfilled all their lease obligations, such as keeping the rental property in good condition.
- The repair costs do not exceed one month's rent.
- The tenant has not used the repair-and-deduct remedy within the past six months.
- The tenant is current on their rent.

Additionally, if a landlord commits a ""substantial violation"" of the lease or rental agreement, the tenant has the right to terminate their tenancy without notice. However, tenants considering this remedy should consult with a local landlord-tenant lawyer to ensure that the violation is significant enough to justify ending the tenancy. Otherwise, the tenant may still be responsible for paying rent for the remaining lease term.",Landlord does not need to provide any notice,Landlord does not need to provide any notice,Landlord must provide 30-day notice
,Missouri,No limit,None,Landlord can file eviction immediately,"Tenants have several options when facing problems at their rental property.

Right to Repair and Deduct: If a landlord fails to address a condition affecting habitability, sanitation, or security that violates a local code, the tenant may repair the issue and deduct the cost from their rent.
- Notify the landlord in writing of the intent to repair at the landlord's expense.
- If the landlord does not repair within 14 days, the tenant can proceed with the repair.
- The repair cost must be less than $300 or half the monthly rent, whichever is greater, but not more than one month's rent.
- Provide the landlord with an itemized statement and receipts.
- If the landlord objects within the 14-day period, obtain written certification of the code violation from the local municipality.

Right to Withhold Rent: Tenants may withhold rent for a breach of the implied warranty of habitability, which must be a material issue affecting health and safety, such as faulty wiring.
- Notify the landlord of the problem and allow a reasonable time for repairs.
- Keep the withheld rent in a separate bank account or deposit it with the court until resolved.",Landlord does not need to provide any notice,Landlord does not need to provide any notice,Landlord must provide 30-day notice
,Montana,No limit,None,Landlord can file eviction within 3 days,"When a landlord fails to provide a habitable rental, tenants have the following options:

Repair and Deduct
- Tenant can repair health and safety issues and deduct up to one month's rent after notifying the landlord and giving a reasonable time to fix it.
- Emergency repairs can be done immediately by a qualified person.
- Tenants can also repair and deduct up to one month's rent if repairs are required by the lease.

Termination of the Tenancy
- For serious breaches, tenant can give written notice, terminating the tenancy in 30 days if not fixed in 14 days. Tenant can move out if not repaired.
- In emergencies, tenant can terminate if not fixed within three working days.
- For repeated issues within six months, tenant can terminate with 14 days' notice without giving the landlord another chance to fix.

If essential services are not provided, tenant can give written notice and:
- Procure the service and deduct the cost from rent.
- Recover damages for reduced rental value.
- Move to substitute housing without paying rent during noncompliance.
- Tenant must give the landlord a reasonable opportunity to fix the issue",Landlord must provide 24-hour notice,Landlord must provide 15-day notice,Landlord must provide 30-day notice
,Nebraska,No limit,None,Landlord can file eviction within 7 days,"If the landlord fails to provide running water, hot water, heat, or other essential services, the tenant can:

- Notify the landlord in writing and procure the services, deducting the actual cost from rent.
- Sue for the loss of rental value.
- Move out and be excused from paying rent until the issue is fixed. If deliberate, the tenant can also recover the cost of substitute housing up to the rent amount.

For issues affecting health and safety, the tenant can give written notice specifying the problem and stating that the tenancy will terminate in 30 days if not fixed within 14 days. If the problem recurs within six months, the tenant can terminate with 14 days' notice without waiting for repairs.",Landlord must provide 24-hour notice,Landlord must provide 30-day notice,Landlord must provide 30-day notice
,Nevada,5% of monthly rent,3 Days,Landlord can file eviction within 7 days,"If a landlord fails to provide essential services (heat, AC, water, electricity, gas, locks, etc.), making the rental uninhabitable, the tenant must give written notice. If not fixed within 48 hours (excluding weekends/holidays), the tenant can:

- Deduct repair costs from rent
- Sue for damages
- Withhold rent (if current on payments)
- Move to temporary housing without paying rent

For issues fixable for less than $100 or one month's rent, the tenant can notify the landlord and, if not addressed within 14 days, repair and charge the landlord with an itemized statement.

If the landlord breaches the lease (not affecting habitability), the tenant must provide written notice. If not fixed within 14 days, the tenant can:
- End the tenancy immediately
- Sue for damages and other relief",Landlord must provide 24-hour notice,Landlord must provide 45-day notice,Landlord must provide 30-day notice
,New Hampshire,No limit,None,Landlord can file eviction within 7 days,"When a landlord fails to provide a habitable rental, the tenant can withhold rent under specific conditions. The tenant must notify the landlord in writing about the habitability issue. If the landlord does not fix the problem within 14 days (or immediately in case of an emergency), the tenant can withhold rent. The issue must not be caused by the tenant or their guest.

If the tenant can prove they notified the landlord in this way, the landlord cannot successfully evict the tenant for withholding rent.",Landlord must provide reasonable notice,Landlord must provide 30-day notice,Landlord must provide 30-day notice
,New Jersey,No limit,"None; 5 days for senior citizens receiving Social Security, pensions, Social Security Disability Benefits, Supplemental Security Income, or Work First New Jersey benefits",Landlord can file eviction immediately,"If the landlord does not keep the premises in a habitable condition, a tenant may repair any vital deficiencies and deduct the amount of the repair from the rent. The landlord's failure to maintain the property could also lead to what is called a constructive eviction by the tenant.",Landlord must provide reasonable notice,Landlord must provide 30-day notice,Landlord must provide 30-day notice
,New Mexico,10% of monthly rent,None,Landlord can file eviction within 3 days,"Landlords must make repairs within seven days of being notified by the tenant. If they do not, tenants may withhold rent.",Landlord must provide 24-hour notice,Landlord must provide 30-day notice,Landlord must provide 30-day notice
,New York,Lesser of $50 or 5% of monthly rent,5 Days,Landlord can file eviction within 14 days,"If a home is not safe to live in, tenants may:

Withholding Rent: Tenants can withhold rent if the property is uninhabitable. The withheld amount should reflect the difference between the rental's fair market value when habitable and its value during the issue.

Repair and Deduct: Tenants may fix issues and deduct the cost from rent after giving the landlord notice and a reasonable time to repair.

Constructive Eviction: If severe issues make the rental unlivable, tenants can move out without further rent liability. Consult an attorney before taking this step to avoid potential legal issues.",Landlord must provide reasonable notice,Landlord must provide 30-day notice,Landlord must provide 1-month notice
,North Carolina,Greater of $15 or 5% of monthly rent,5 Days,Landlord can file eviction within 10 days,"Tenants cannot withhold rent for repairs unless a judge authorizes it. Tenants can sue the landlord to request court-ordered repairs, a temporary rent reduction during repairs, and a retroactive rent cut for the period without repairs. For severe issues making the rental uninhabitable, a court may consider the tenant ""constructively evicted,"" allowing them to move out without further rent liability. Tenants should consult an attorney before moving out to avoid potential legal issues if the damage assessment is incorrect.",Landlord does not need to provide any notice,Landlord does not need to provide any notice,Landlord must provide 1-week notice
,North Dakota,No limit,None,Landlord can file eviction within 3 days,"If the landlord fails to keep the rental repaired and fit for human habitation, the tenant must notify the landlord and allow a reasonable time for repairs. If the landlord doesn't make the repairs, the tenant can:
- Make the repairs and deduct the expense from the rent.
- Recover the cost of repairs through a lawsuit or other legal means.
- Move out and not pay further rent.

Simply withholding rent without making repairs is not an option.",Landlord must provide reasonable notice,Landlord must provide 30-day notice,Landlord must provide 30-day notice
,Ohio,No limit,None,Landlord can file eviction immediately,"Tenants can legally withhold rent under certain conditions. By depositing rent with the Court, the tenant forces the landlord to take some action to recover rent money. The landlord must repair the conditions and apply to the Court for an order releasing the rent.",Landlord must provide 24-hour notice,Landlord must provide 60-day notice,Landlord must provide 30-day notice
,Oklahoma,No limit,None,Landlord can file eviction within 5 days,"Tenants can withhold rent only under the repair and deduct statute. If the landlord fails to make necessary repairs, the tenant can pay for the repairs and deduct the cost from their next rent payment.",Landlord must provide 24-hour notice,Landlord does not need to provide any notice,Landlord must provide 30-day notice
,Oregon,5% of monthly rent,4 Days,Landlord can file eviction within 8 days,"When landlords fail to comply with a term of the lease or maintain the premises in a habitable condition, tenants can notify the landlord of the breach and give a 30-day notice to terminate if the condition isn't fixed within a specified time. Tenants may also withhold rent for minor defects that can be reasonably repaired for up to $300, but must follow the statute's notice requirements.",Landlord must provide 24-hour notice,Landlord must provide 90-day notice,Landlord must provide 30-day notice
,Pennsylvania,No limit,None,Landlord can file eviction within 10 days,Tenants may withhold rent if you can prove the dwelling unit is not habitable and have taken the proper steps of informing the landlord of the problem and giving the landlord a reasonable amount of time to fix the defect that caused your rental unit to be uninhabitable.,Landlord must provide reasonable notice,Landlord does not need to provide any notice,Landlord must provide 15-day notice
,Rhode Island,No limit,15 Days,Landlord can file eviction within 5 days,"Tenants may withhold rent under certain conditions, such as when a landlord fails to address essential repairs that affect health and safety. Before withholding rent, you must notify the landlord in writing of the issue and give them a reasonable time to fix it. If the problem isn’t resolved, you can put the rent money into an escrow account to show that you’re willing to pay once the repairs are made. Keep in mind that this action should be taken with caution and it’s recommended to seek legal advice before doing so.",Landlord must provide 2-day notice,Landlord must provide 30-day notice,Landlord must provide 30-day notice
,South Carolina,No limit,None,Landlord can file eviction within 5 days,"Tenants may withhold rent if the landlord fails to provide essential services such as heating systems, water supply, good sanitary conditions, and maintenance.",Landlord must provide 24-hour notice,Landlord does not need to provide any notice,Landlord must provide 30-day notice
,South Dakota,No limit,None,Landlord can file eviction within 3 days,"If the landlord fails to keep the rental habitable, the tenant must notify the landlord and allow reasonable time for repairs. If the landlord doesn't make repairs, the tenant can:
- Make repairs and deduct the cost from rent or sue the landlord.
- Move out without responsibility for future rent.

If repair costs exceed one month's rent, the tenant can withhold rent in a separate account until repairs are made, after providing written notice to the landlord. This remedy applies only to habitability issues",Landlord must provide 24-hour notice,Landlord must provide 30-day notice,Landlord must provide 30-day notice
,Tennessee,10% of monthly rent,5 Days,Landlord can file eviction within 14 days,"Landlords must make repairs within 14 days of a written notice. If a landlord fails to make the repair within this period, the tenant may make the repairs themselves and deduct the cost from future rent payment, or they may withhold rent altogether.",Landlord does not need to provide any notice but must provide 24-hour notice for showings,Landlord does not need to provide any notice,Landlord does not need to provide any notice
,Texas,12% of monthly rent if located in a building with 4 units or under;  10% of monthly rent if located in a building with more than 4 units,2 Days,Landlord can file eviction within 3 days,"Before a landlord is liable and a tenant can take actions like ending the lease or deducting repair costs from rent, the tenant must:

- Notify the landlord about the problem where rent is usually paid (not required in writing unless the lease specifies).
- Allow a ""reasonable"" time for repairs (defined as 7 days, but can vary based on the issue's severity and availability of materials/labor).
- If not fixed, send another written notice.
- Allow another ""reasonable"" period for repairs.
The process can be expedited by sending the initial notice via certified mail, registered mail, or another trackable mail service, which eliminates the need for a second notice.",Landlord does not need to provide any notice,Landlord does not need to provide any notice,Landlord must provide 30-day notice
,Utah,Greater of $75 or 10% of monthly rent,None,Landlord can file eviction within 3 business days,"Basic living requirements, such as heat, hot water, working sewer, etc., must be provided and maintained. Rent withholding is recognized in Utah as a method of forcing the landlord to fix any serious health or safety violations on the property. However, the needed repairs must be for serious health and safety problems.",Landlord must provide 24-hour notice,Landlord must provide 15-day notice,Landlord must provide 15-day notice
,Vermont,No limit,None,Landlord can file eviction within 14 days,"If a tenant finds a minor defect the landlord must fix, they should notify the landlord and give 30 days to repair it. If not repaired, the tenant can fix it and deduct the reasonable cost from the rent, up to half of the monthly rent. The tenant must provide an accounting of the repair costs to the landlord.",Landlord must provide 48-hour notice,Landlord must provide 60-day notice,Landlord must provide 60-day notice
